username,services,freq
willie_keel,"[80, 1]",3
emmitt_crook,"[53, 80]",3
guillermina_meehan,[34],1
calvin_tisdale,[80],1
virgie_orlando,"[37, 34]",2
bradly_varela,[80],1
jayne_crews,"[37, 34]",2
abraham_hite,[36],2
chad_arriola,"[80, 34, 40]",1
belle_krueger,"[80, 34]",1
cedric_hardison,"[80, 34]",2
delbert_dodds,[30],2
dustin_payne,"[34, 80]",2
antionette_rains,[34],1
jame_locke,"[30, 80]",2
judy_cornejo,"[1, 34]",3
ervin_gould,"[34, 80]",1
viola_griffin,"[37, 15]",2
anderson_mulligan,"[37, 30]",2
garland_coy,"[37, 30, 20]",1
stacey_quintanilla,[80],3
natalie_montalvo,[34],1
derrick_mcclanahan,[36],1
alfred_danielson,"[34, 80]",2
jewel_ledet,"[30, 4]",1
gillian_custer,[24],2
madeleine_schindler,[37],2
diego_cannon,[36],3
denis_solis,"[40, 34]",1
marcelle_call,[37],1
josie_ross,[34],1
carmen_rawlins,"[30, 80]",2
vera_magnuson,[80],1
adell_shively,"[37, 28, 80]",1
mack_summers,[36],1
brandy_cooksey,[80],2
mattie_danner,[34],2
rosalind_arce,[34],3
alec_archie,"[30, 34, 38]",1
kraig_traylor,"[80, 34, 21]",3
adam_harbin,[34],1
devon_sherry,"[37, 80]",2
ray_montalvo,[34],2
odell_power,"[34, 8, 30]",2
elida_bolin,"[80, 20]",2
alicia_evans,"[80, 1]",1
stacie_cassidy,"[34, 80]",1
riley_lancaster,"[24, 34, 80]",1
nelson_lattimore,"[34, 21, 30]",3
frederick_spooner,"[28, 37]",2
nita_obryan,"[20, 30, 37]",1
ira_madsen,"[30, 80]",2
adrienne_roe,"[21, 24]",3
darell_forster,"[1, 80, 37]",2
eloisa_ryan,[34],2
maya_fajardo,"[34, 80]",2
truman_vest,"[24, 38]",2
mercedes_maples,[34],1
elliot_fitts,[34],2
carolina_quinonez,[15],3
theodore_elder,"[34, 24, 21]",1
erin_delacruz,[80],2
elsie_robbins,[34],1
cyrus_lilley,"[36, 21, 80]",2
hubert_spinks,"[3, 36]",1
jennifer_bellamy,"[62, 34]",3
gavin_purdy,[34],3
helene_calderon,"[12, 80, 34]",1
carlene_singletary,"[34, 28]",1
haydee_cloutier,[4],1
laurie_pacheco,"[34, 80]",1
kendall_canada,"[80, 34]",1
hosea_catron,"[37, 80]",3
lilia_staley,[34],2
clayton_cary,"[21, 34]",3
celia_winn,[21],2
kristin_guillory,"[20, 34, 80]",1
erik_holmes,"[80, 30]",1
benedict_funk,"[37, 34]",2
tommy_reinhardt,"[4, 34]",1
virgil_urbina,[34],3
gil_phillips,[1],2
charleen_swank,"[30, 34]",2
isaias_townes,"[20, 4]",2
delbert_estep,[34],2
stuart_breedlove,"[37, 30]",3
amelia_maddox,"[20, 37, 30]",1
reinaldo_spence,"[34, 37]",3
georgiana_mackenzie,"[37, 34, 12]",3
matthew_tomlinson,"[36, 30]",2
toby_pointer,"[80, 34]",1
vicente_orr,"[1, 40]",1
lona_overton,[30],3
rhonda_lawton,"[37, 34]",1
alfredo_vanhoose,"[62, 34]",3
tiana_durr,"[80, 40, 36]",2
tori_montano,"[34, 37]",1
kim_squires,"[30, 80, 34]",1
harriett_albright,"[34, 80, 21]",2
cordell_macklin,"[15, 80]",2
liz_sessions,[80],1
lucile_meehan,"[53, 30]",2
shauna_ethridge,[34],3
isabell_hardesty,"[28, 36, 3]",3
chastity_guillen,"[34, 37]",1
anastasia_muncy,[4],2
jerrold_hooks,[37],1
jefferey_streeter,[34],3
marion_francis,"[30, 3]",1
vicente_hudspeth,"[4, 34]",3
ma_handley,"[80, 30]",1
sherwood_huskey,[15],1
carlton_gilbreath,[34],3
samuel_dunn,[80],3
isaac_altman,[37],2
anton_rosales,"[3, 34, 80]",2
aurelio_rushing,[36],1
cletus_kolb,[34],2
reina_key,"[80, 34]",2
rocky_calvin,"[34, 80]",3
autumn_valles,[30],3
blaine_padilla,[80],1
roberto_kimbrell,[6],2
anibal_hooks,"[38, 80]",3
jordan_roche,"[34, 80]",2
megan_lindberg,"[80, 37]",1
chloe_bullock,"[34, 37]",1
arlen_drake,[80],2
genaro_henning,"[80, 12, 34]",2
zack_perry,"[30, 80, 24]",3
elnora_petersen,[34],2
laurel_orlando,[34],1
faustino_wilmoth,"[62, 34]",2
jacquelyn_rendon,"[80, 34]",2
stacey_katz,[34],2
christa_hancock,"[30, 34]",1
petra_new,"[34, 38, 80]",1
graig_daigle,"[37, 53]",3
jocelyn_mosby,"[30, 34]",2
kristina_pepper,"[37, 34]",1
jerrod_mohr,[12],3
nilda_toro,"[80, 28]",2
jay_olivares,[30],2
elisa_culbertson,"[12, 80]",3
rickey_rouse,"[38, 37]",2
dominick_simmons,[6],2
laverne_cousins,"[80, 34, 30]",2
inez_kaye,[34],2
lenore_compton,[36],2
cruz_collier,[34],1
lauri_noe,[34],2
latanya_pool,"[80, 34, 24]",1
william_durant,[30],2
lon_hutchens,[34],2
alison_sales,"[30, 21]",3
jordan_perales,[34],3
anissa_schumacher,"[3, 34]",3
rey_grimes,"[34, 28]",2
loren_lugo,[34],3
ernestine_kearney,"[34, 36]",1
taylor_rincon,"[30, 80, 37]",2
jackson_hirsch,[34],3
marsha_haggard,"[21, 37]",1
elden_low,[15],1
eric_trotter,"[80, 34]",2
gina_toney,[30],2
nedra_winchester,"[34, 80, 24]",1
alecia_ladd,[37],1
jacqueline_brock,[34],2
vada_oreilly,[8],1
levi_perrin,"[34, 36]",1
michel_toro,[20],3
sally_pritchard,"[80, 28]",2
horace_ridgeway,[30],2
jonnie_bradford,[80],3
marlin_arriola,"[36, 34]",2
mickey_thurman,"[30, 34]",1
nita_riggins,[80],2
lucius_derrick,"[30, 80, 34]",1
vernon_luciano,[80],3
karen_leal,"[6, 12]",3
damien_choi,"[20, 34, 38]",1
phyllis_bowman,"[1, 37]",1
bernard_overstreet,[24],1
luke_holcomb,"[38, 20]",2
valarie_creighton,"[34, 40]",1
antone_cosby,"[8, 34]",3
francesca_layne,[80],3
marquis_rigby,[8],3
estella_agnew,"[36, 30]",3
gena_monson,[24],2
vikki_skidmore,[34],1
gary_friday,"[34, 80]",1
gertie_renner,"[34, 6]",3
lucia_valencia,[30],1
chang_lynn,[21],1
danial_custer,"[34, 28]",2
cleveland_rushing,"[37, 80, 28]",1
darin_snyder,"[30, 34, 20]",2
curtis_champagne,"[34, 4]",1
hank_finley,"[34, 40]",3
filiberto_muncy,[34],2
monty_watt,[20],2
lakesha_lear,[24],2
francis_ashby,"[30, 53]",1
sidney_villanueva,"[34, 30]",2
mike_witcher,[30],3
ernesto_schmitt,[3],2
les_kenyon,"[8, 34, 37]",3
arlie_atherton,"[30, 21]",1
idella_bogan,"[34, 30]",1
hollie_pollard,[34],2
samantha_trammell,"[34, 80]",2
twila_quezada,"[80, 37, 6]",2
erwin_crawford,"[30, 34]",1
darlene_hughey,"[37, 34]",3
markus_beattie,"[30, 34]",3
tina_ellison,[37],3
leslie_lake,"[34, 80]",1
keneth_laplante,"[80, 30]",1
jenifer_rosales,[30],2
sherwood_mckay,[34],1
zackary_ashworth,"[6, 34]",1
lettie_lamar,"[34, 37]",1
elvira_pinkney,[80],1
robert_perez,[80],1
calvin_mott,"[38, 15]",3
juan_betz,"[80, 21]",1
nedra_isaac,"[34, 3, 80]",2
serena_gaddy,[34],1
ross_mullen,[30],2
charmaine_cormier,[34],1
rocio_phifer,"[34, 30]",1
lorna_marra,[34],3
clint_settle,"[34, 20, 24]",1
gail_mcintire,"[80, 40, 30]",1
art_douglass,[34],1
mathew_roddy,[24],2
wyatt_runyon,"[53, 34]",1
lois_valdez,"[12, 80, 40]",2
rhonda_fisher,"[34, 80]",3
austin_willey,[34],3
luigi_hobson,[34],2
reginald_best,[6],3
theresa_zeigler,[30],2
demetrius_zepeda,"[36, 37]",2
elyse_lauer,[4],3
stacie_witt,[37],3
claude_batista,[34],2
aura_worth,[80],2
efrain_trujillo,"[80, 34]",1
christine_furlong,[34],2
octavio_laster,"[21, 30]",3
penny_melvin,"[80, 21]",1
joe_herring,[34],2
lucio_spurlock,[34],1
cary_drury,[12],2
hazel_mackay,[80],3
renata_mayers,"[37, 80, 62]",1
kesha_myers,[34],1
araceli_ingalls,"[24, 80, 40]",2
alvin_forest,"[30, 80, 21]",2
ward_kroll,[37],2
celestine_giles,[80],1
wendell_kingsley,[15],2
sherry_pickett,[80],1
nickolas_guffey,"[36, 37]",1
darleen_beard,"[80, 34]",2
rodrigo_sebastian,[3],3
adolph_ervin,"[80, 30]",3
jamie_goebel,"[53, 34, 37]",1
stewart_willson,"[12, 34]",1
gretchen_harbin,"[34, 30]",2
darius_ibarra,"[21, 53, 80]",3
helen_beckham,[80],2
emmett_bonds,[80],3
allyson_oh,[80],3
jamar_owens,[37],3
alonzo_jacks,"[20, 30, 6]",2
stan_brownlee,[34],1
will_fagan,[80],2
frederic_bear,"[40, 12]",3
luther_denning,[36],1
edith_gordon,"[30, 34, 3]",1
crystal_markley,[80],1
carmelo_urban,[53],2
herbert_mcgovern,[34],1
rae_sparks,[30],1
holli_demarco,"[34, 30]",2
darrel_nealy,[30],2
micaela_janssen,"[20, 34]",2
milford_lawless,[21],1
katina_sullivan,[34],1
louise_garcia,[34],2
santos_stine,"[30, 34]",2
julian_conroy,"[53, 21]",1
kerry_sutter,"[37, 30]",3
patrick_currier,"[34, 30]",2
bruce_diamond,"[80, 34]",1
alina_morse,"[37, 80]",2
jackson_heller,"[24, 34, 38]",1
reta_oneill,[80],2
ima_perea,"[80, 34]",2
federico_mccorkle,[34],1
javier_agnew,[30],2
sang_rainey,"[30, 34]",1
janie_justice,"[34, 30]",1
armando_hightower,[34],3
georgina_prescott,[40],2
gabrielle_ashby,[34],3
timothy_loy,[34],1
perry_duke,[34],1
nannie_hawes,[80],2
ellsworth_battles,[37],2
mariam_linkous,"[80, 37]",3
deann_reitz,"[34, 30, 80]",3
josue_hoffman,"[37, 30]",2
ruby_jernigan,[24],1
mitchel_guyton,"[4, 21, 38]",3
alana_trotter,[38],3
edgardo_wheat,"[36, 40, 30, 21]",3
helen_butcher,[80],3
luella_tanaka,[34],2
truman_sell,"[12, 30, 34]",3
chester_chase,"[34, 80]",3
deanne_sayers,"[36, 37, 28]",2
lance_stern,[30],2
angelique_sutherland,"[12, 80, 34]",2
arturo_fullerton,[34],2
duncan_richter,"[80, 30]",2
melisa_hickman,"[80, 34, 3]",2
leslie_morrill,"[15, 37]",3
cleo_sweat,"[34, 30]",2
porfirio_mcgrew,[34],2
jeniffer_oh,"[80, 34, 21]",3
terra_purcell,"[34, 30]",3
mariah_jensen,[37],1
randal_xiong,[34],1
madelyn_nye,[80],3
lee_burge,[80],1
janie_hammons,"[37, 54]",3
grover_harrington,[15],2
ashlee_pardo,"[34, 30]",2
louann_back,"[15, 34]",2
mitzi_guido,[34],3
boris_pyle,"[34, 80]",1
vera_beaty,"[3, 34]",2
refugio_van,"[37, 34]",1
vincenzo_fonseca,[53],2
augusta_christiansen,[20],1
willian_eden,"[34, 30]",2
jared_wilder,"[8, 3]",3
betsy_healy,"[20, 28, 34]",2
tasha_dickey,[80],3
belen_burnham,[21],3
ronda_staggs,"[37, 80]",2
aubrey_kirkwood,[34],2
sylvia_paradis,"[37, 20, 34]",1
gil_levin,"[3, 34]",2
harley_libby,"[6, 80]",3
gilbert_escobedo,[34],2
brooks_dickerson,"[30, 37]",3
laverne_beebe,"[3, 80]",3
deon_matthews,"[34, 80]",2
maura_mcnamee,"[34, 12]",3
dolores_kersey,"[15, 37, 36]",2
adelaide_worsham,[34],1
rebeca_macpherson,"[80, 54]",2
horacio_pedroza,"[38, 34]",1
elisha_hadley,"[80, 34]",1
cyril_mcdowell,[80],2
albert_darby,"[37, 40]",1
paige_shephard,"[80, 34, 30]",2
lance_myers,[28],2
bert_granger,[20],2
gilda_weinstein,"[54, 80]",1
felipe_freitas,"[30, 37]",1
julie_michel,"[34, 30]",2
dana_macklin,"[80, 34]",2
trinidad_hoke,"[80, 34]",1
olga_english,"[34, 80, 24]",2
aisha_woodruff,[30],2
claudio_oakes,[21],2
tad_hildebrand,"[40, 80]",2
herschel_hendricks,[34],2
travis_deberry,[34],3
dixie_borrego,"[80, 30]",3
sammy_beckman,"[37, 80]",2
dianne_blackburn,"[34, 38]",3
francis_villalobos,[80],2
ginny_schaffer,"[34, 30]",2
robin_mccord,"[34, 40]",3
berta_wheeler,"[34, 12]",2
donovan_sawyer,[34],2
christa_cornett,[80],1
ebony_greer,[12],2
barbara_stillwell,[34],3
demetrius_burrell,"[20, 34, 21]",1
horace_burt,"[34, 38]",2
gail_gagnon,"[4, 37]",1
robert_victor,"[15, 34]",2
misti_stephen,"[38, 12]",3
belinda_harwood,[80],3
lucy_schroeder,[37],3
doyle_seaman,"[34, 80]",3
ruben_pina,"[34, 30]",2
leanna_smart,"[30, 34]",2
gwen_longo,[24],1
jasper_ledford,[37],2
scot_spann,[34],3
rex_pedigo,[37],1
annetta_thompson,[80],2
noah_lilley,[34],3
willard_weis,"[37, 34]",3
marty_lancaster,"[37, 34]",1
alfonzo_mays,"[12, 34]",1
kristen_head,[34],1
camille_garrison,"[54, 34]",3
janet_tharp,"[30, 34, 8]",2
nereida_hutson,"[36, 80]",3
tracie_edmonds,[34],1
barbara_paulson,[40],1
molly_mondragon,"[37, 34]",3
cory_marvin,[30],3
shiela_earl,[34],1
astrid_swisher,"[40, 24]",2
dustin_baker,[34],2
jamal_beckett,[80],2
travis_broderick,[34],1
augustus_place,[80],1
luciano_brownlee,[34],3
truman_enos,"[30, 80]",2
charles_freund,"[80, 34]",1
sheena_broyles,"[34, 80]",1
burton_payton,[30],2
martin_troy,"[34, 30, 24]",3
casey_chacon,[37],2
lindsay_luttrell,[34],1
renata_jerome,[80],2
catalina_collett,[34],3
andres_heck,[34],3
carmen_mcalister,[34],1
hank_ellis,"[80, 38]",1
wilma_william,"[80, 40, 37, 34]",1
wayne_shifflett,"[80, 12]",2
sydney_mullis,"[34, 12, 80]",2
marilynn_thacker,"[34, 80]",3
everett_ginn,"[34, 80, 24]",1
jerome_mcmurray,[80],3
jared_villa,"[80, 30]",2
daniela_mccallister,"[30, 80]",1
boris_dehart,"[20, 80]",3
tracy_wiggins,"[30, 80]",1
rusty_crouch,"[30, 80, 40]",1
jamaal_blunt,"[21, 15]",2
pansy_silver,[34],3
mary_millard,[34],1
toni_estep,"[80, 34, 24]",1
joy_robles,"[4, 30]",2
deloris_sturgis,[34],3
ramon_dorris,"[34, 30, 37]",1
tanya_mares,[62],1
marsha_pounds,"[80, 30]",2
francis_grant,[80],2
nancy_frierson,"[80, 37]",3
lillian_vaughan,[34],2
lucien_penny,[34],2
lawrence_dial,[37],1
lacy_medlock,"[34, 8]",1
jc_fishman,[30],3
emilie_somerville,[15],3
damion_eden,"[21, 30]",1
hugo_lu,[36],3
susie_rowland,"[36, 34, 80]",2
erin_lovejoy,[37],3
anibal_willard,"[24, 34, 30]",1
jeana_longoria,"[30, 80]",3
chuck_grogan,[34],3
malinda_lemke,"[80, 34]",3
marty_lohr,[80],1
milo_lin,"[34, 80]",1
roland_jacob,"[37, 34]",2
elissa_lilly,"[37, 34]",1
albert_whitaker,"[34, 80]",2
jan_brinkley,"[30, 34]",2
devon_hinds,"[3, 15, 30]",1
man_david,[34],1
kerry_southern,"[37, 80]",2
fatima_catron,[80],1
marie_german,[21],2
rudolf_burchett,[37],1
melisa_melendez,"[40, 80]",2
boyce_beaty,"[80, 34]",3
brenton_rey,"[28, 80]",1
travis_goad,"[34, 30]",1
kenton_hardman,"[80, 34, 30]",2
suzette_pardo,[30],3
isabella_tinker,"[30, 34]",3
brendan_hardin,"[80, 30]",3
simone_cullen,[30],2
katy_hickson,[30],2
spencer_fawcett,"[80, 30]",3
vernon_stanford,"[30, 80]",2
walker_mosier,[34],3
reuben_rapp,[80],3
kristine_birch,[21],3
sheila_romeo,"[28, 21]",2
laquita_lattimore,"[37, 30]",3
mari_sturgeon,"[38, 12, 37]",3
angel_skaggs,"[80, 4]",3
daniela_sellars,"[30, 34, 80]",1
stevie_dowling,"[4, 30, 34]",2
raven_alcorn,[28],2
herbert_aguilera,"[80, 21]",3
chet_aiken,"[34, 28]",2
rosetta_coates,[34],2
sam_burdette,"[30, 37]",3
jame_shell,[34],2
lula_diaz,"[37, 34]",2
gaylord_grace,"[37, 34]",1
kara_negrete,[34],1
candice_harr,"[8, 1]",2
marci_burleson,"[34, 21]",1
sterling_pruitt,[34],3
leonel_wilmoth,"[37, 40]",1
julia_fortner,[80],1
adolfo_epstein,"[80, 34]",2
christen_lloyd,"[30, 80]",2
sheryl_counts,[80],1
lizzie_grover,[80],2
francine_ackerman,[80],3
randal_caron,"[38, 80]",2
valencia_mouton,[54],3
perry_howell,[36],1
consuelo_becker,"[12, 30, 38]",1
kerri_mast,"[34, 30]",2
teri_hoag,[20],1
lyn_downing,[15],2
georgina_hopkins,"[37, 34]",3
gregory_garvey,[80],3
kelly_rupp,"[80, 34]",3
cyril_reagan,[80],2
danna_daugherty,"[34, 38]",2
leone_bueno,"[20, 34, 30]",3
ruth_applegate,[34],2
luciano_hiatt,"[28, 30]",3
olivia_heaton,[36],3
debra_benge,"[37, 40]",3
corrie_royster,"[80, 34, 40]",2
melvin_jackman,"[37, 24]",2
eula_carlisle,"[34, 21, 80]",2
graciela_wade,[20],2
stephan_estevez,"[40, 80, 30]",2
bruce_soares,[34],1
santa_faulk,[80],1
kip_bagley,[34],1
jeffrey_lanning,[80],2
meaghan_willie,"[34, 30, 20, 80]",1
lavern_wade,"[80, 37]",3
cari_aleman,"[4, 34]",2
lori_burger,[30],2
rodrick_spencer,"[80, 12]",2
roger_triplett,[20],1
sophie_parson,[80],3
antoinette_mcmichael,[80],2
deborah_champion,[30],2
alecia_cordova,"[37, 8]",1
roberto_poore,[80],1
ron_whited,"[15, 80]",1
frances_fries,"[34, 37, 30]",1
milford_rowell,"[34, 37, 80]",1
genoveva_cole,[34],1
tristan_pullen,"[34, 80]",3
gerardo_sawyer,"[30, 34]",2
amos_brantley,"[80, 34]",1
amelia_brock,[34],3
gerard_holbrook,[28],1
erma_keaton,"[34, 28]",2
alissa_burleson,"[37, 34]",2
lilly_christopher,[34],2
wilber_sanderson,[30],3
cornelius_meyers,[30],1
cecilia_christensen,"[30, 37]",1
robyn_leone,"[80, 37]",2
patricia_snead,"[38, 80]",2
kieth_carmack,[34],2
lazaro_crouse,[80],1
taylor_tiller,"[80, 40]",1
ashleigh_hilton,"[34, 30]",1
sarah_sawyers,"[30, 12]",3
lester_schneider,[30],2
anna_moreno,"[80, 30]",1
dinah_thrasher,[30],3
hung_lau,[34],3
freida_chandler,[30],2
ulysses_tyner,[30],2
geneva_moser,[38],3
nereida_ulmer,"[34, 37, 6]",3
refugio_mahan,[34],2
jeffery_lash,"[80, 34]",3
lindsay_mann,"[15, 34]",2
taylor_mercer,"[24, 36, 37]",3
troy_dickey,"[34, 28]",1
dale_dejesus,"[38, 15, 80]",2
robert_larkin,[8],1
carolyn_wilder,"[34, 6]",1
thad_orth,[80],2
claude_timm,[30],2
keith_jaynes,[30],1
buford_anglin,[28],3
nelson_frazier,[34],2
jean_usher,[80],3
oliver_myrick,"[80, 34]",2
josef_irvin,"[20, 80]",1
alfred_stoker,[80],1
waylon_nevarez,[37],2
billy_dobson,[34],2
cesar_hammer,[34],1
madonna_cardwell,"[34, 62]",1
beau_dillon,[24],2
ella_marks,"[80, 37]",1
galen_durant,"[30, 80, 12]",3
thelma_dexter,[30],3
helen_grooms,[34],3
rob_joy,[80],1
wilber_tejada,"[80, 34]",1
freida_polk,"[38, 80, 34]",3
brenton_hannan,[21],3
adele_maness,"[34, 80]",3
sierra_wallis,"[34, 80, 12, 3]",2
devon_bowers,[80],2
nora_guay,[40],2
ricky_lindsey,"[34, 37, 40]",1
lou_daley,[34],3
woodrow_ezell,"[37, 80, 8]",3
george_free,"[80, 34]",1
alfonso_mccaffrey,"[34, 80, 37]",2
huey_peace,"[53, 34]",3
johnathon_laroche,[34],1
venita_pond,"[34, 80, 37]",1
mimi_urbina,[34],2
joe_tijerina,"[12, 80]",2
sebastian_ashmore,[30],2
renee_boyd,"[34, 80]",1
andra_wampler,"[34, 30]",1
ashleigh_peters,[34],2
jewel_esquivel,"[12, 80]",2
lanny_darby,[34],3
shanda_hinson,[37],2
nanette_hanna,"[36, 34]",2
mickey_arriola,"[28, 80]",1
rosanna_lara,"[34, 30]",3
kris_chu,[80],2
rubin_langley,"[34, 28]",1
soon_ontiveros,"[80, 54]",3
isabell_bowie,[80],2
frankie_langston,[80],2
rueben_lamar,[80],2
bonita_mcdonnell,[80],3
kent_milton,[30],3
jimmie_douglass,"[34, 21]",1
thelma_bertram,[3],3
marlyn_stark,[37],3
alice_furman,[80],2
gregorio_schulz,"[80, 28]",2
cordell_girard,"[30, 34]",3
tori_adler,[34],2
ethan_cecil,[80],1
dwayne_dugan,[80],1
ashley_driscoll,[80],3
otis_phillip,"[80, 62, 24]",1
hobert_lindstrom,"[80, 30, 15]",1
dion_landis,[34],3
concepcion_homan,[80],3
shelli_delaney,"[24, 34]",2
doris_ferrell,[34],3
alda_buck,[12],2
candy_sandlin,"[37, 34]",2
janice_keefer,"[30, 38]",1
catherine_ruffin,[36],2
harriet_danner,[34],2
troy_schindler,"[34, 30]",1
richard_watters,"[34, 80]",3
cathrine_cruz,[80],2
gene_batts,"[28, 38, 80]",3
terrence_loy,"[4, 80]",3
karyn_morales,"[80, 40]",1
marcy_youngblood,"[30, 80]",2
latonya_curran,"[34, 40]",2
marcia_march,"[80, 30]",2
jarrett_reiss,"[34, 80]",3
elvin_robson,"[37, 30]",1
sydney_haller,"[34, 80]",1
cole_metzger,[34],2
domingo_vigil,"[34, 6, 80]",1
melvin_vitale,"[80, 34]",1
harrison_marx,[34],1
colette_denny,"[34, 30, 12]",1
joni_welker,"[34, 80, 30]",1
delma_redd,[],2
kendrick_hendrick,"[34, 1]",2
kristie_soileau,"[8, 30]",2
andrew_ryder,[34],3
javier_etheridge,"[30, 34]",1
madeleine_koch,"[80, 34, 30, 53]",3
florine_larue,[38],2
isiah_royer,[80],3
johnnie_gamble,"[36, 34]",1
cristobal_reynolds,"[40, 30]",1
amalia_bliss,"[30, 34]",1
coleen_mclain,[37],3
ernestina_fogle,[34],1
henrietta_larry,[24],3
brain_randall,[6],1
emmitt_thompson,"[38, 34]",2
ebony_rigsby,[80],2
samatha_lee,"[80, 40]",2
mervin_soliz,"[28, 36]",3
sam_braun,"[21, 3]",2
roxanna_stokes,[12],1
tara_cain,"[1, 34]",3
merlin_laws,"[80, 34]",2
issac_skelton,"[80, 30]",3
lakesha_koontz,[80],3
queen_boyce,[80],1
buford_bettis,[6],3
ramon_jackson,[34],2
carly_mccracken,[4],2
waldo_harwood,"[80, 37]",3
elizabeth_rasmussen,[80],3
dan_barnett,"[80, 34]",2
bryce_bromley,"[28, 15, 37, 34]",1
hubert_condon,"[34, 40]",2
misti_chang,[80],2
cherry_sample,[80],2
christopher_choi,"[37, 4, 34]",2
charlie_vue,"[80, 24, 37]",2
eleanore_stacy,"[80, 34]",2
emmitt_stclair,"[37, 15]",2
gerald_gough,"[34, 30]",2
loren_nevarez,[80],3
arden_coats,"[15, 34, 12]",3
robert_beaty,[34],3
ester_cornejo,"[20, 34]",2
jimmie_ives,"[28, 80]",1
gerardo_grice,"[30, 34]",3
brianna_goff,[30],2
haydee_purnell,"[80, 34]",1
florence_douglass,"[36, 80]",2
toby_heck,"[80, 6]",3
kristen_cromer,"[80, 37]",3
alisa_herrin,"[62, 80, 34]",3
leone_fontenot,"[34, 4, 80]",1
clair_mccarthy,"[15, 40]",2
julian_forman,[34],2
scot_storm,"[34, 37]",2
floyd_vela,"[34, 6, 24]",1
melvina_cornelius,"[8, 34]",1
dona_bickford,"[80, 34]",1
joe_kingsley,[34],3
laurie_jasso,[34],1
chrystal_brenner,[34],2
merle_galloway,"[4, 34]",3
jason_hills,"[80, 30]",1
lonnie_mckeown,"[38, 34]",2
susanne_lamontagne,[80],1
jamison_kidwell,[37],1
latonia_qualls,[38],2
monique_spear,"[30, 80]",1
celina_conte,"[36, 30, 37]",2
giuseppe_barkley,[34],2
angelita_weeks,"[80, 28, 30]",1
byron_cloud,[30],1
modesto_christie,"[80, 34]",1
tara_welch,"[80, 38, 37]",2
elliott_triplett,"[30, 34]",3
emory_garland,"[37, 24, 38]",1
bryce_goodin,[38],1
phoebe_singletary,[34],2
russel_burleson,[34],3
ines_gragg,"[20, 80, 34]",2
arnulfo_bautista,[80],3
helga_betz,"[37, 24]",3
tyson_portillo,[80],2
fidel_holton,"[80, 37, 4]",3
dirk_mcdonough,"[30, 34]",1
mose_norfleet,"[37, 34, 30]",3
craig_redd,"[30, 80]",3
ronnie_baggett,[1],2
geoffrey_hardison,[37],1
george_jansen,[36],3
mose_sheffield,[80],2
sang_moreau,[30],1
fern_alfred,[34],1
lyle_richardson,"[37, 80, 34]",1
hilton_shockley,"[80, 34, 30]",1
floyd_lockhart,[34],1
sanford_dietrich,[34],2
meghan_begley,[80],1
alonzo_regan,"[38, 30]",2
randell_arevalo,"[34, 40]",2
pedro_sigler,[28],2
morgan_irvin,"[37, 54]",2
buster_handy,[34],1
melissa_klein,"[6, 34]",1
