row,age,username,freq,services,netflix,amazon,Showtime,youtube,fuboTV,Crackle,Discovery+,CBS All Access,Rent or Buy,Apple TV+,hulu,Philo,FOX,PlutoTV,HBO MAX,Starz,Disney+,IMDb TV,FX,Tubi,NBC,Peacock
41,43,nikita_grimes,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
42,54,earnestine_tellez,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
43,55,virgina_keene,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
44,42,bernice_glaze,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
45,39,stuart_seal,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
46,72,derek_velasco,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'Disney+': 1}",,,,1.0,,,,,,,,,,,,,1.0,,,,,
47,72,johnny_glaze,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
48,49,maureen_lacy,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Philo': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
49,39,destiny_lanning,1-DAILY,"{'Philo': 1, 'youtube': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
50,18,faye_bland,1-DAILY,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
51,29,garth_willett,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
52,35,howard_zapata,1-DAILY,"{'netflix': 1, 'HBO MAX': 1}",1.0,,,,,,,,,,,,,,1.0,,,,,,,
53,50,augustine_bishop,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
54,20,pasquale_woodley,1-DAILY,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
55,23,sydney_razo,1-DAILY,"{'youtube': 1, 'HBO MAX': 1}",,,,1.0,,,,,,,,,,,1.0,,,,,,,
56,41,walton_westbrook,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
57,60,darin_lavigne,2-FEW_TIMES_WEEK,{'CBS All Access': 1},,,,,,,,1.0,,,,,,,,,,,,,,
58,34,emmett_stamps,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'youtube': 1, 'amazon': 1, 'Apple TV+': 1}",1.0,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,
59,76,david_stitt,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
60,23,boyce_findley,1-DAILY,"{'youtube': 1, 'netflix': 1, 'Apple TV+': 1, 'Discovery+': 1}",1.0,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,
61,63,wilson_john,1-DAILY,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
63,56,jeanine_brownell,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Discovery+': 1}",,,,1.0,,,1.0,,,,,,,,,,,,,,,
64,49,eva_borges,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
65,53,pilar_maes,2-FEW_TIMES_WEEK,"{'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
66,73,javier_rousseau,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
67,55,sharron_callaway,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
68,40,tera_cardona,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
69,75,geoffrey_broadway,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
70,40,saul_strickland,2-FEW_TIMES_WEEK,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
71,62,natalie_melendez,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
72,57,theda_ramirez,2-FEW_TIMES_WEEK,"{'PlutoTV': 1, 'youtube': 1}",,,,1.0,,,,,,,,,,1.0,,,,,,,,
74,55,jacques_rivard,1-DAILY,"{'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
75,68,annamarie_colby,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
76,20,fred_reagan,1-DAILY,"{'hulu': 1, 'Apple TV+': 1, 'Disney+': 1}",,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,
77,51,aimee_ferro,1-DAILY,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
78,51,bennie_tindall,1-DAILY,{'Rent or Buy': 1},,,,,,,,,1.0,,,,,,,,,,,,,
79,46,merle_alcorn,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
80,44,lenny_cohn,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
81,21,buck_medrano,1-DAILY,"{'hulu': 1, 'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
82,78,harry_baldwin,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
83,41,seymour_santoro,1-DAILY,"{'netflix': 1, 'Rent or Buy': 1}",1.0,,,,,,,,1.0,,,,,,,,,,,,,
84,73,sheryl_cruse,2-FEW_TIMES_WEEK,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
85,43,dewey_cortez,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
86,43,eric_omalley,1-DAILY,"{'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
87,18,andrea_bertrand,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
88,58,josiah_chism,2-FEW_TIMES_WEEK,{'Discovery+': 1},,,,,,,1.0,,,,,,,,,,,,,,,
89,48,xavier_hawley,3-FEWER_THREE_PER_MONTH,"{'Showtime': 1, 'netflix': 1}",1.0,,1.0,,,,,,,,,,,,,,,,,,,
90,64,antony_bright,1-DAILY,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
91,62,alex_rohr,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
92,67,vincent_jansen,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
93,51,katy_french,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
94,35,misti_call,1-DAILY,"{'netflix': 1, 'Crackle': 1}",1.0,,,,,1.0,,,,,,,,,,,,,,,,
95,33,mayme_orozco,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1, 'FOX': 1}",1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,
96,29,clarissa_irby,1-DAILY,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
97,52,lashonda_barker,2-FEW_TIMES_WEEK,{'PlutoTV': 1},,,,,,,,,,,,,,1.0,,,,,,,,
98,58,milford_liles,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
100,28,freddy_redding,1-DAILY,{'CBS All Access': 1},,,,,,,,1.0,,,,,,,,,,,,,,
101,37,cornell_mathis,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
102,58,nita_minnick,2-FEW_TIMES_WEEK,{'Showtime': 1},,,1.0,,,,,,,,,,,,,,,,,,,
103,49,darrell_holloman,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
104,33,jerold_benefield,2-FEW_TIMES_WEEK,"{'IMDb TV': 1, 'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,
105,30,thelma_burroughs,3-FEWER_THREE_PER_MONTH,"{'Philo': 1, 'amazon': 1, 'netflix': 1, 'hulu': 1}",1.0,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
106,32,patti_bernier,1-DAILY,"{'Philo': 1, 'hulu': 1}",,,,,,,,,,,1.0,1.0,,,,,,,,,,
107,27,pansy_labbe,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
108,26,brenna_hamer,1-DAILY,"{'Philo': 1, 'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,
109,76,tabatha_ly,3-FEWER_THREE_PER_MONTH,"{'fuboTV': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
110,29,leon_mullen,1-DAILY,"{'HBO MAX': 1, 'youtube': 1}",,,,1.0,,,,,,,,,,,1.0,,,,,,,
111,79,merlin_berger,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
112,27,loren_faust,3-FEWER_THREE_PER_MONTH,"{'Starz': 1, 'PlutoTV': 1, 'netflix': 1, 'hulu': 1}",1.0,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,
113,42,laverne_fenton,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
114,47,tim_ly,1-DAILY,"{'Disney+': 1, 'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,
115,43,lisette_schmidt,3-FEWER_THREE_PER_MONTH,"{'CBS All Access': 1, 'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,
116,67,abbie_ireland,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
117,28,rayford_wolford,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Discovery+': 1, 'FX': 1}",1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,
118,64,kevin_hunt,1-DAILY,"{'netflix': 1, 'Apple TV+': 1}",1.0,,,,,,,,,1.0,,,,,,,,,,,,
119,36,sergio_caskey,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Tubi': 1, 'CBS All Access': 1, 'hulu': 1}",,,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,
120,30,raymundo_salyer,1-DAILY,"{'youtube': 1, 'Philo': 1, 'Discovery+': 1, 'IMDb TV': 1, 'CBS All Access': 1}",,,,1.0,,,1.0,1.0,,,,1.0,,,,,,1.0,,,,
121,74,samual_kimball,2-FEW_TIMES_WEEK,"{'youtube': 1, 'CBS All Access': 1, 'Discovery+': 1}",,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
122,43,noe_peters,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
123,73,zelda_myers,3-FEWER_THREE_PER_MONTH,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
124,60,adrienne_combs,2-FEW_TIMES_WEEK,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
125,19,catherine_walling,1-DAILY,"{'HBO MAX': 1, 'hulu': 1, 'IMDb TV': 1}",,,,,,,,,,,1.0,,,,1.0,,,1.0,,,,
126,52,ahmed_waldron,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
127,25,lidia_briggs,1-DAILY,"{'hulu': 1, 'amazon': 1}",,1.0,,,,,,,,,1.0,,,,,,,,,,,
128,50,demarcus_blackburn,2-FEW_TIMES_WEEK,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
129,41,dominique_hess,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
130,50,annemarie_meadows,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
131,38,rufus_kenney,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
132,21,rosalinda_hitchcock,3-FEWER_THREE_PER_MONTH,"{'NBC': 1, 'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,
133,70,nedra_espinal,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Discovery+': 1}",,,,1.0,,,1.0,,,,,,,,,,,,,,,
135,49,rene_agnew,2-FEW_TIMES_WEEK,"{'netflix': 1, 'Discovery+': 1}",1.0,,,,,,1.0,,,,,,,,,,,,,,,
136,65,freddy_bruno,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
137,50,ann_thorn,2-FEW_TIMES_WEEK,"{'netflix': 1, 'fuboTV': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
138,32,rosalba_gagnon,1-DAILY,"{'youtube': 1, 'Starz': 1}",,,,1.0,,,,,,,,,,,,1.0,,,,,,
139,54,erasmo_mowery,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
140,51,gaye_weiss,3-FEWER_THREE_PER_MONTH,"{'hulu': 1, 'Apple TV+': 1}",,,,,,,,,,1.0,1.0,,,,,,,,,,,
141,24,tammi_gustafson,1-DAILY,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
142,71,latonya_patino,2-FEW_TIMES_WEEK,"{'netflix': 1, 'amazon': 1}",1.0,1.0,,,,,,,,,,,,,,,,,,,,
143,78,francesca_cronin,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
144,31,mikel_bostic,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
145,30,monty_denman,3-FEWER_THREE_PER_MONTH,"{'CBS All Access': 1, 'youtube': 1}",,,,1.0,,,,1.0,,,,,,,,,,,,,,
146,63,daniel_colvin,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
147,50,roxana_nixon,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Philo': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,
148,57,shameka_irvin,2-FEW_TIMES_WEEK,"{'Philo': 1, 'youtube': 1}",,,,1.0,,,,,,,,1.0,,,,,,,,,,
149,79,erlinda_durkin,2-FEW_TIMES_WEEK,{'Apple TV+': 1},,,,,,,,,,1.0,,,,,,,,,,,,
150,42,joyce_alfonso,3-FEWER_THREE_PER_MONTH,"{'fuboTV': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
151,21,dorsey_sandlin,1-DAILY,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
152,55,darcy_hickman,3-FEWER_THREE_PER_MONTH,"{'youtube': 1, 'hulu': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
153,29,deon_jack,2-FEW_TIMES_WEEK,"{'hulu': 1, 'youtube': 1}",,,,1.0,,,,,,,1.0,,,,,,,,,,,
154,52,keneth_holm,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
155,51,jeromy_green,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
156,39,cleo_raley,2-FEW_TIMES_WEEK,"{'Apple TV+': 1, 'netflix': 1}",1.0,,,,,,,,,1.0,,,,,,,,,,,,
157,23,sheri_ricci,2-FEW_TIMES_WEEK,"{'youtube': 1, 'fuboTV': 1, 'Disney+': 1}",,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,
158,58,pearline_rodriguez,1-DAILY,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
160,52,winnie_crockett,3-FEWER_THREE_PER_MONTH,"{'netflix': 1, 'youtube': 1, 'hulu': 1}",1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,
161,67,maurice_griggs,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
162,24,rupert_mcgowan,1-DAILY,"{'Apple TV+': 1, 'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,
163,51,cassie_hyde,1-DAILY,{'Apple TV+': 1},,,,,,,,,,1.0,,,,,,,,,,,,
164,27,hobert_ramon,2-FEW_TIMES_WEEK,{'Showtime': 1},,,1.0,,,,,,,,,,,,,,,,,,,
165,59,judson_rayford,2-FEW_TIMES_WEEK,"{'hulu': 1, 'netflix': 1}",1.0,,,,,,,,,,1.0,,,,,,,,,,,
166,42,melodie_gorman,1-DAILY,"{'youtube': 1, 'amazon': 1}",,1.0,,1.0,,,,,,,,,,,,,,,,,,
167,56,wm_dabney,1-DAILY,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
168,21,ambrose_greco,2-FEW_TIMES_WEEK,"{'youtube': 1, 'Discovery+': 1, 'hulu': 1}",,,,1.0,,,1.0,,,,1.0,,,,,,,,,,,
169,72,kerry_phipps,3-FEWER_THREE_PER_MONTH,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
170,46,angelia_belt,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
171,66,ralph_kohl,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
172,37,jeanine_aragon,1-DAILY,"{'amazon': 1, 'youtube': 1, 'netflix': 1}",1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,
173,54,malissa_beckett,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
174,43,rene_voss,2-FEW_TIMES_WEEK,"{'youtube': 1, 'FX': 1}",,,,1.0,,,,,,,,,,,,,,,1.0,,,
175,38,latasha_case,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
176,45,arleen_latimer,1-DAILY,{'Rent or Buy': 1},,,,,,,,,1.0,,,,,,,,,,,,,
177,65,ida_wise,1-DAILY,{'CBS All Access': 1},,,,,,,,1.0,,,,,,,,,,,,,,
178,23,jannette_trevino,1-DAILY,"{'Starz': 1, 'hulu': 1, 'HBO MAX': 1}",,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,
181,78,amelia_tillery,1-DAILY,{'Apple TV+': 1},,,,,,,,,,1.0,,,,,,,,,,,,
182,68,jerry_russell,2-FEW_TIMES_WEEK,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
184,40,nestor_gough,3-FEWER_THREE_PER_MONTH,{'youtube': 1},,,,1.0,,,,,,,,,,,,,,,,,,
185,23,jamar_mcpherson,3-FEWER_THREE_PER_MONTH,{'fuboTV': 1},,,,,1.0,,,,,,,,,,,,,,,,,
186,50,gregory_leal,1-DAILY,"{'youtube': 1, 'netflix': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
188,78,patrice_heredia,3-FEWER_THREE_PER_MONTH,"{'fuboTV': 1, 'netflix': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
189,37,debbie_todd,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
190,56,henry_najera,3-FEWER_THREE_PER_MONTH,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
192,62,robyn_vela,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
193,37,ernestine_bolden,1-DAILY,"{'HBO MAX': 1, 'netflix': 1}",1.0,,,,,,,,,,,,,,1.0,,,,,,,
194,21,keenan_valenti,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
195,74,virgilio_holly,2-FEW_TIMES_WEEK,"{'Peacock': 1, 'Apple TV+': 1}",,,,,,,,,,1.0,,,,,,,,,,,,1.0
196,31,wayne_delacruz,1-DAILY,"{'youtube': 1, 'NBC': 1}",,,,1.0,,,,,,,,,,,,,,,,,1.0,
197,18,brittany_harr,1-DAILY,"{'Showtime': 1, 'netflix': 1}",1.0,,1.0,,,,,,,,,,,,,,,,,,,
198,58,sherman_begley,2-FEW_TIMES_WEEK,{'Philo': 1},,,,,,,,,,,,1.0,,,,,,,,,,
199,18,leonor_sutherland,1-DAILY,"{'hulu': 1, 'amazon': 1, 'youtube': 1}",,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,
200,27,margie_salinas,1-DAILY,"{'fuboTV': 1, 'youtube': 1}",,,,1.0,1.0,,,,,,,,,,,,,,,,,
201,67,janette_sherry,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
202,51,silvia_blaine,2-FEW_TIMES_WEEK,"{'netflix': 1, 'fuboTV': 1}",1.0,,,,1.0,,,,,,,,,,,,,,,,,
203,51,damon_langford,2-FEW_TIMES_WEEK,"{'netflix': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,,,,,,,
204,28,bobbi_knoll,1-DAILY,"{'netflix': 1, 'Starz': 1, 'youtube': 1}",1.0,,,1.0,,,,,,,,,,,,1.0,,,,,,
205,41,marlon_daughtry,2-FEW_TIMES_WEEK,{'netflix': 1},1.0,,,,,,,,,,,,,,,,,,,,,
207,51,diane_doucette,2-FEW_TIMES_WEEK,{'amazon': 1},,1.0,,,,,,,,,,,,,,,,,,,,
208,35,darin_schreiner,3-FEWER_THREE_PER_MONTH,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
209,74,german_mcgee,3-FEWER_THREE_PER_MONTH,{'hulu': 1},,,,,,,,,,,1.0,,,,,,,,,,,
210,72,dovie_pickens,2-FEW_TIMES_WEEK,"{'Apple TV+': 1, 'youtube': 1}",,,,1.0,,,,,,1.0,,,,,,,,,,,,
